Function,InitDistanceToFlag,BotType,ShotsTaken,Put,DistanceAfterFirstShot,FinalDistance,CalculationTimeAveragePerShot
0.008306892355257507 * log ( -0.005476301564441266 * x ^ 1 ) * -0.008399671231929763 * y ^ 4 + 10,10.273939721091994,Random,10,false,10.273939721091994,10.273939721091994,840.0
0.006466721685035871 * log ( 0.008879806047863582 * x ^ 1 + -0.004235245148054194 * x ^ 1 + -6.132339650232932E-4 * x ^ 4 ) + 0.008814526945872264 * x ^ 1 + 10,4.02519955085712,BasicAI,10,false,7.316927864566476,7.425416596289384,4630.0
0.006466721685035871 * log ( 0.008879806047863582 * x ^ 1 + -0.004235245148054194 * x ^ 1 + -6.132339650232932E-4 * x ^ 4 ) + 0.008814526945872264 * x ^ 1 + 10,4.02519955085712,NewAI,10,false,13.41405340342993,7.424895232602829,19610.0
0.006466721685035871 * log ( 0.008879806047863582 * x ^ 1 + -0.004235245148054194 * x ^ 1 + -6.132339650232932E-4 * x ^ 4 ) + 0.008814526945872264 * x ^ 1 + 10,4.02519955085712,Random,10,false,4.02519955085712,2.2351740140740257E7,13930.0
0.003088622285197431 * tan ( 0.005153581415394324 * y ^ 2 ) - -0.0040492960489165 * x ^ 3 + -0.00541828153571221 * y ^ 2 - 0.009481407275060038 * y ^ 1 + 10,2.0677978330119395,BasicAI,10,false,11.296663407964786,11.296722014413147,3530.0
0.003088622285197431 * tan ( 0.005153581415394324 * y ^ 2 ) - -0.0040492960489165 * x ^ 3 + -0.00541828153571221 * y ^ 2 - 0.009481407275060038 * y ^ 1 + 10,2.0677978330119395,NewAI,10,false,11.296663753480129,11.29672256158361,14250.0
0.003088622285197431 * tan ( 0.005153581415394324 * y ^ 2 ) - -0.0040492960489165 * x ^ 3 + -0.00541828153571221 * y ^ 2 - 0.009481407275060038 * y ^ 1 + 10,2.0677978330119395,Random,10,false,2.0677978330119395,2.0677978330119395,950.0
0.0031647107976511867 * y ^ 2 ^ 8 + 0.007742970612839375 * cos ( -0.0068173110215040585 * x ^ 1 ) + 10,9.746307488041406,BasicAI,10,false,NaN,NaN,8770.0
0.0031647107976511867 * y ^ 2 ^ 8 + 0.007742970612839375 * cos ( -0.0068173110215040585 * x ^ 1 ) + 10,9.746307488041406,NewAI,10,false,NaN,NaN,61490.0
0.0031647107976511867 * y ^ 2 ^ 8 + 0.007742970612839375 * cos ( -0.0068173110215040585 * x ^ 1 ) + 10,9.746307488041406,Random,10,false,NaN,NaN,4760.0
0.0015646198549311152 * sqrt ( -3.5131276362241004E-4 * x ^ 3 ) + 0.0037406806282206883 * x ^ 2 ^ 3 + -0.0013772108420772432 * x ^ 1 - -0.007880971887583304 * y ^ 1 + 10,9.608950842725706,BasicAI,10,false,NaN,NaN,15410.0
